age,balance,currency,daily,drawdown,expectancy,gain,leverage,link,lots,monthly,name,pips,price,profit,profit_factor,rank,trades,won
90.0,1587328.27,SGD, 0.27%,63.31%,2,149759.81%,400 ,https://www.signalstart.com/analysis/pipster-27/267689," 81,534.78", 8.34%,Pipster 27,58301.7,$168.00,7867222.05, 3.28,-,5696, 82%
4.07,2215.55,USC Cent, -0.10%,29.23%,3,-11.38%,500 ,https://www.signalstart.com/analysis/qctrading/267658, 12.22, -2.91%,QCTrading,-3451.4,$65.00,284.45, 0.83,-,189, 53%
18.0,162268.29,USD, 0.36%,30.26%,5,661.06%,200 ,https://www.signalstart.com/analysis/fts-ea-50k/267738," 4,313.57", 11.47%,FTS EA 50k,-24405.5,$75.00,122268.29, 1.27,-,48753, 78%
5.13,0.0,USD, 0.11%,57.33%,1,17.57%,500 ,https://www.signalstart.com/analysis/los-de-la-nasa/267646, 7.78, 3.19%,Los de la Nasa,-1058.1,$30.00,18.8, 1.01,-,345, 67%
29.0,4136.5,USD, 0.63%,26.23%,4,29818.59%,500 ,https://www.signalstart.com/analysis/golden-buffalo-pro/267625, 149, 20.83%,Golden Buffalo Pro,25404.0,$200.00,24508.0, 7.13,-,150, 77%
29.0,7857.0,USD, 0.75%,53.59%,2,88047.89%,500 ,https://www.signalstart.com/analysis/golden-buffalo/267624, 168, 25.25%,Golden Buffalo,27592.0,$200.00,27147.5, 4.43,-,168, 73%
4.26,9868.72,USD, -0.01%,11.13%,2,-1.31%,200 ,https://www.signalstart.com/analysis/lilu-invest-algo/267598, 528.82, -0.31%,LiLu Invest ALGO,976.2,$49.00,131.28, 0.97,-,230, 67%
9.33,0.0,USD, -2.44%,99.97%,9,-99.90%,500 ,https://www.signalstart.com/analysis/fxlahori-classic/267549, 8.88, -52.20%,FxLahori Classic,-3649.5,$45.00,54.72, 0.9,-,528, 42%
4.23,11.74,EUR, 0.66%,45.30%,2,131.14%,500 ,https://www.signalstart.com/analysis/venus1-m1-top20-al10/267529, 9.2, 21.74%,VENUS1 M1 TOP20 AL10,333.3,$75.00,63.02, 1.76,-,267, 93%
23.0,1521.78,USD, -0.10%,97.54%,6,-50.84%,500 ,https://www.signalstart.com/analysis/angel-eurusd/267521, 140.42, -2.90%,Angel EURUSD,1754.7,$100.00,2447.37, 1.28,-,3097, 65%
5.43,17.92,USD, -0.20%,76.73%,9,-28.12%,500 ,https://www.signalstart.com/analysis/trader-armin/267462, 206.93, -5.87%,Trader Armin,4605.2,$500.00,726.61, 0.91,-,140, 49%
4.72,2174.84,EUR, -4.32%,99.95%,7,-99.81%,500 ,https://www.signalstart.com/analysis/evolve-trading/267417, 64.33, -73.18%,Evolve Trading,-6004.7,$75.00,844.34, 0.89,-,1271, 75%
7.56,0.37,USD, 0.16%,31.46%,5,42.84%,500 ,https://www.signalstart.com/analysis/pandawa-87/267386, 40.14, 4.81%,Pandawa 87,78.1,$35.00,7141.37, 2.15,-,166, 67%
4.89,76.04,EUR Cent, -2.54%,99.47%,2,-97.72%,500 ,https://www.signalstart.com/analysis/moonflowe/267375, 286.39, -53.60%,Moonflowe,-16.8,$55.00,16021.73, 1.64,-,109, 49%
6.36,0.0,USD, 0.28%,46.70%,2,69.05%,50 ,https://www.signalstart.com/analysis/finova-emirates-ea/267323, 51.18, 8.56%,Finova Emirates EA,5538.3,$200.00,1399.21, 1.27,-,545, 78%
62.0,0.08,USD, -0.04%,67.48%,6,-48.82%,500 ,https://www.signalstart.com/analysis/raja-salman/267255, 18.01, -1.05%,RAJA SALMAN,-3359.9,$30.00,369.07, 0.83,-,564, 78%
6.95,0.0,USD, -3.25%,99.91%,7,-99.90%,200 ,https://www.signalstart.com/analysis/kit-trader/267144, 3.93, -62.76%,Kit Trader,398.0,$40.00,143.88, 1.72,-,146, 77%
5.89,1009988.71,USD, 0.69%,95.34%,9,236.31%,400 ,https://www.signalstart.com/analysis/john-o/267127," 23,127.35", 22.71%,John O,-24348.4,$197.00,709988.71, 1.49,-,741, 91%
5.33,0.0,USD, -4.23%,99.95%,4,-99.90%,200 ,https://www.signalstart.com/analysis/keep-profit/267125, 1.73, -72.44%,Keep Profit,-52881.1,$50.00,500.86, 0.46,-,162, 94%
5.43,915.7,USD, -0.20%,81.65%,3,-27.33%,500 ,https://www.signalstart.com/analysis/fxwizard/267097, 42.24, -5.68%,FxWizard,9084.0,$60.00,334.3, 0.92,-,635, 66%
27.0,10515.36,AUD, -0.40%,99.98%,7,-96.76%,500 ,https://www.signalstart.com/analysis/slownsteady/267076, 161.45, -11.44%,SlownSteady,21463.3,$30.00,6723.2, 1.37,-,7843, 77%
6.1,1912.78,USD, 1.78%,43.50%,1,2402.35%,500 ,https://www.signalstart.com/analysis/maxprof1t/267036, 48.23, 69.14%,MAXPROF1T,25700.7,$50.00,1347.63, 1.43,-,1507, 60%
21.0,1.49,GBP, -1.06%,99.91%,2,-99.90%,500 ,https://www.signalstart.com/analysis/house/267023, 85.71, -27.41%,House,2980.0,$80.00,425.09, 0.97,-,1488, 52%
11.02,0.0,USD, -1.61%,99.92%,1,-99.53%,500 ,https://www.signalstart.com/analysis/gmc-gold-miner/267020, 2.87, -38.49%,GMC Gold Miner,41.0,$30.00,1.54, 1,-,283, 83%
4.75,0.0,USD, 0.16%,11.16%,4,25.37%,500 ,https://www.signalstart.com/analysis/klaten20/267002, 168.1, 4.83%,Klaten20,653.8,$30.00,282.26, 2.71,-,102, 62%
7.62,20229.0,USD, 0.21%,22.95%,8,61.05%,400 ,https://www.signalstart.com/analysis/abdulaziz/266934, 855.2, 6.42%,Abdulaziz,-8262.8,$56.00,12164.44, 1.61,-,4570, 84%
5.43,0.0,USD, 0.07%,8.57%,9,12.79%,500 ,https://www.signalstart.com/analysis/beta-hantec/266835, 20.7, 2.23%,beta hantec,10324.0,$30.00,1107.41, 2.18,-,207, 77%
7.72,44635.86,USD, -0.10%,30.02%,6,-20.01%,500 ,https://www.signalstart.com/analysis/copypulse-fx-2/266649, 116.33, -2.84%,CopyPulse FX 2,-12003.5,$75.00,8032.26, 0.68,-,406, 70%
9.59,281.75,USD, -0.02%,66.48%,1,-6.50%,300 ,https://www.signalstart.com/analysis/kfx-ai-trading-bot/266492, 8.02, -0.70%,KFX AI Trading Bot,1074.7,$100.00,19.52, 0.97,-,342, 73%
8.95,1633.76,USD, -0.78%,96.12%,2,-87.74%,100 ,https://www.signalstart.com/analysis/robo-quantum-fx/266517," 1,990.3", -20.82%,Robo Quantum FX,-554946.0,$30.00,52131.55, 0.79,-,16239, 59%
6.82,5228.18,USD, -3.07%,99.94%,8,-99.83%,500 ,https://www.signalstart.com/analysis/max-nolimit/266449, 18.87, -60.60%,MAX NoLimit,-29040.3,$75.00,1792.83, 1.27,-,912, 68%
5.43,3476.02,GBP, 0.13%,92.81%,7,24.26%,500 ,https://www.signalstart.com/analysis/angry-cat/266428, 96.49, 4.06%,Angry Cat,-661.6,$30.00,1276.02, 1.17,-,993, 53%
8.23,53.89,USD, -0.94%,96.66%,0,-90.31%,500 ,https://www.signalstart.com/analysis/ja01-signals/266406, 11.49, -24.62%,JA01 Signals,12.4,$30.00,307.69, 0.85,-,599, 60%
10.82,14472.44,EUC, 0.07%,19.28%,6,27.35%,500 ,https://www.signalstart.com/analysis/profit-is-ongoing/266313, 247.09, 2.25%,The profit is ongoing,-1505.8,$30.00,2651.56, 1.24,-,2428, 64%
5.39,0.0,USD, -0.59%,64.90%,3,-61.86%,500 ,https://www.signalstart.com/analysis/hengz/266284, 6.53, -16.27%,Hengz,-12423.7,$30.00,771.53, 0.52,-,455, 75%
6.39,310.3,USD, -0.45%,75.60%,2,-57.79%,500 ,https://www.signalstart.com/analysis/steve-vetsak/266260, 65.4, -12.56%,Steve Vetsak,3729.1,$40.00,311.16, 0.92,-,407, 72%
8.62,1.32,USD, -0.04%,28.63%,2,-10.62%,200 ,https://www.signalstart.com/analysis/antimal2/266010, 1.45, -1.29%,AntiMAL2,4197.9,$30.00,78.32, 0.85,-,59, 53%
7.02,1500.0,USD, 0.61%,24.54%,7,258.15%,300 ,https://www.signalstart.com/analysis/copy-vic/265981, 34.49, 19.91%,Copy Vic,2344.7,$75.00,1438.28, 2.47,-,1379, 70%
8.62,1.9,USD, -0.66%,87.28%,8,-81.83%,200 ,https://www.signalstart.com/analysis/antimal1/265974, 26.63, -17.87%,AntiMAL1,-3468.8,$30.00,3435.69, 0.41,-,97, 43%
5.75,0.0,USD, -0.37%,100.00%,3,-47.36%,500 ,https://www.signalstart.com/analysis/tradingwin/265892, 38.56, -10.49%,TradingWin,33317.9,$30.00,303.58, 0.95,-,3576, 66%
8.82,113.93,USD, 1.19%,82.76%,1,2210.62%,500 ,https://www.signalstart.com/analysis/megatrade777/265859, 5.93, 42.54%,MegaTrade777,-158.1,$59.00,108.93, 1.18,-,163, 79%
6.92,1038.21,USD, -0.12%,73.76%,9,-21.55%,500 ,https://www.signalstart.com/analysis/mother/265809, 23.54, -3.43%,Mother,-375.1,$30.00,309.49, 0.86,-,419, 55%
7.72,18402.49,CNT Cent, 0.17%,20.14%,2,47.96%,500 ,https://www.signalstart.com/analysis/forex-beyond-investment/265738, 328.42, 5.18%,Forex Beyond Investment,-537.7,$30.00,3801.49, 1.24,-,2805, 64%
10.82,32451.62,AUC, 0.21%,34.47%,4,99.81%,500 ,https://www.signalstart.com/analysis/trade-market-master/265724, 562.18, 6.58%,Trade Market Master,-1098.8,$30.00,9357.34, 1.22,-,2546, 64%
8.62,1.34,USD, 0.01%,15.50%,8,2.50%,200 ,https://www.signalstart.com/analysis/antimal/265721, 5.6, 0.29%,AntiMAL,-767.5,$30.00,14.45, 0.98,-,60, 58%
5.89,415.36,EUR, -0.15%,83.52%,3,-23.39%,30 ,https://www.signalstart.com/analysis/dax-scalper-2024/265705, 117.25, -4.40%,DAX Scalper 2024,-7118.0,$45.00,102.64, 1.14,-,1667, 58%
28.0,200.8,USD, -0.65%,99.99%,8,-99.65%,500 ,https://www.signalstart.com/analysis/singolawu2023/265524, 47.67, -17.81%,Singolawu2023,9256.3,$50.00,3416.12, 2.03,-,1160, 89%
14.0,44.56,USD, -1.49%,99.96%,8,-99.89%,100 ,https://www.signalstart.com/analysis/triadab/265511, 186.2, -36.24%,TriadaB,278618.7,$500.00,9918.1, 0.8,-,6667, 64%
7.82,1499.19,EUR, -0.95%,99.76%,2,-89.31%,500 ,https://www.signalstart.com/analysis/mylifechange/265498, 79.26, -24.76%,MyLifechange,967.3,$75.00,1844.16, 1.19,-,298, 62%
6.95,1027.65,USD, -3.21%,100.00%,8,-99.89%,500 ,https://www.signalstart.com/analysis/sumpah-pemuda/265442, 168.37, -62.24%,Sumpah Pemuda,1665.2,$30.00,156.16, 2.24,-,918, 76%
10.82,36543.03,CAC, 0.18%,34.59%,0,78.38%,500 ,https://www.signalstart.com/analysis/titan-capital-holdings-group/265408, 765.51, 5.47%,Titan Capital Holdings Group,36.8,$30.00,11970.97, 1.23,-,2766, 64%
10.82,39015.34,AUC, 0.15%,34.72%,4,63.83%,500 ,https://www.signalstart.com/analysis/opulent-fund-managers/265407, 720.8, 4.65%,Opulent Fund Managers,-827.3,$30.00,12380.45, 1.22,-,2258, 65%
11.49,1307.57,USC Cent, 0.42%,28.07%,5,318.70%,500 ,https://www.signalstart.com/analysis/ea-daily-persen/265378, 49.3, 13.23%,EA Daily Persen,1122.4,$30.00,9221.34, 2.56,-,318, 60%
7.07,86.21,USD, -3.21%,99.97%,3,-99.90%,500 ,https://www.signalstart.com/analysis/ps7/265312, 8.75, -62.24%,PS7,13252.0,$30.00,46.2, 1.01,-,868, 84%
6.52,0.0,EUR, 0.07%,12.16%,1,13.93%,200 ,https://www.signalstart.com/analysis/thorget-fx-10/265267, 3.7, 2.01%,Thorget fx 10,782.8,$30.00,141.57, 1.72,-,251, 78%
15.0,6306.63,USD, 2.16%,93.27%,5,2652018.62%,500 ,https://www.signalstart.com/analysis/ai-goldrush/265240, 12.99, 89.82%,AI GoldRush,214373.0,$69.00,2907.38, 1.31,-,216, 81%
12.89,0.0,USC Cent, -1.75%,99.92%,6,-99.90%,500 ,https://www.signalstart.com/analysis/saint-roch/265121, 128.39, -41.00%,Saint Roch,-10482.0,$30.00,7524.8, 0.67,-,633, 63%
7.92,1.64,USD, -2.37%,99.75%,8,-99.67%,200 ,https://www.signalstart.com/analysis/money-making-machine-1/265050, 9.64, -51.26%,Money Making Machine 1,-57485.1,$30.00,498.36, 0.68,-,916, 67%
7.92,10499.64,GBP, 0.10%,82.51%,7,26.65%,500 ,https://www.signalstart.com/analysis/channel-extension-pro/264993, 76.48, 3.01%,Channel Extension Pro,-45909.7,$35.00,1203.24, 1.1,-,1285, 71%
11.3,1875.87,USD, 0.66%,57.81%,9,822.43%,500 ,https://www.signalstart.com/analysis/pablofx-safe/264942, 21.25, 21.67%,PabloFX Safe,4192.3,$30.00,1668.33, 2.28,-,1068, 71%
8.95,8746.49,USD, 1.53%,69.87%,5,5796.82%,200 ,https://www.signalstart.com/analysis/tiger-asian/264837, 98.1, 57.36%,Tiger asian,8175.2,$75.00,9607.85, 3.62,-,2311, 72%
5.39,9.69,USD, 0.29%,78.35%,7,60.36%,500 ,https://www.signalstart.com/analysis/holyfund-basic/264805, 17.11, 9.09%,HolyFund Basic,11678.2,$40.00,405.96, 1.29,-,337, 71%
12.59,1027.05,USD, -0.01%,19.80%,6,-3.17%,200 ,https://www.signalstart.com/analysis/master-no-2/264783, 2.98, -0.25%,MASTER NO 2,-376.0,$75.00,27.85, 0.95,-,143, 53%
13.0,9102.43,USD, 1.14%,100.00%,3,8971.98%,200 ,https://www.signalstart.com/analysis/woftteamtrade-v2/264700, 142.88, 40.61%,WoftTeamTrade V2,-2983.4,$75.00,2335.62, 1.21,-,1303, 78%
9.62,15.46,USD, -0.67%,97.20%,3,-85.62%,500 ,https://www.signalstart.com/analysis/tickmill-social/264670, 3.64, -18.19%,Tickmill Social,-9528.4,$40.00,104.54, 0.83,-,158, 84%
8.79,1061.08,USD, 1.15%,85.22%,2,1955.77%,500 ,https://www.signalstart.com/analysis/warrent-buffett-investments/264641, 14.47, 40.85%,WARRENT BUFFETT INVESTMENTS,31588.1,$30.00,373.1, 1.43,-,1119, 78%
11.26,0.79,EUR, -1.59%,99.90%,2,-99.56%,500 ,https://www.signalstart.com/analysis/technical-sniper/264634, 6.28, -38.18%,Technical Sniper,-10198.7,$30.00,292.21, 0.73,-,274, 72%
7.56,0.0,USD, -0.12%,84.58%,1,-23.02%,200 ,https://www.signalstart.com/analysis/goldenfinance-vip/264597, 230.85, -3.39%,GoldenFinance VIP,29369.1,$50.00,1008.59, 0.91,-,1125, 79%
11.46,1319.21,USD, 0.42%,39.21%,4,323.97%,500 ,https://www.signalstart.com/analysis/onlyeu/264281, 28.33, 13.39%,OnlyEU,2722.5,$30.00,1798.33, 2.03,-,1127, 69%
11.49,0.0,EUR, 0.04%,20.93%,6,14.25%,100 ,https://www.signalstart.com/analysis/masterofea/264492, 908.97, 1.16%,MasterOfEa,-20660.1,$107.00,2456.08, 1.03,-,33015, 70%
8.39,0.0,USD, 0.32%,87.75%,1,122.56%,300 ,https://www.signalstart.com/analysis/ksenia-ea-eur-usd/264000, 332.29, 9.96%,Ksenia EA Eur Usd,92263.2,$49.00,49.71, 1,-,5389, 80%
15.0,32874.61,USD, 1.77%,100.00%,2,324857.44%,500 ,https://www.signalstart.com/analysis/moonline-grid-ea-risky/263631, 698.57, 69.10%,MoonLine Grid EA Risky,4709.4,$30.00,44914.61, 1.47,-,2344, 62%
10.59,856.46,USD, -0.04%,45.43%,2,-12.63%,400 ,https://www.signalstart.com/analysis/paul-7/263502, 151.01, -1.26%,Paul 7,-24108.0,$35.00,178.26, 0.97,-,1191, 61%
9.43,746.2,USD, -1.21%,99.56%,3,-96.78%,500 ,https://www.signalstart.com/analysis/ninja-indices-icm/263450," 2,410", -30.45%,Ninja Indices ICM,-107717.0,$99.00,3851.94, 0.76,-,2277, 71%
8.69,0.0,USD, -0.37%,84.05%,2,-62.11%,500 ,https://www.signalstart.com/analysis/black-cobra-exma/263438, 17.44, -10.53%,Black Cobra Exma,-12155.5,$35.00,164.16, 0.89,-,1088, 84%
13.0,3.62,USD, 0.26%,43.14%,1,184.78%,500 ,https://www.signalstart.com/analysis/ferraribot/263403, 18.87, 7.98%,Ferraribot,4512.4,$100.00,1493.48, 2.49,-,373, 69%
14.0,269.71,USD, 0.71%,21.04%,23,2110.41%,500 ,https://www.signalstart.com/analysis/ensi/263306, 1.62, 23.75%,Ensi,2462.2,$75.00,264.51, 39.11,-,107, 87%
9.49,135.34,USD, -2.39%,99.98%,31,-99.90%,200 ,https://www.signalstart.com/analysis/investinglegends/263084, 3.57, -51.57%,InvestingLegends,6163.1,$65.00,261.6, 2.69,-,199, 84%
9.13,0.0,USD, -2.44%,100.00%,9,-99.89%,500 ,https://www.signalstart.com/analysis/slowly-scalp-xauusd/263050, 179.07, -52.27%,Slowly Scalp XauUsd,-74920.2,$30.00,2208.54, 0.87,-,3426, 87%
9.02,1141.95,EUR, 1.09%,63.22%,7,1762.54%,500 ,https://www.signalstart.com/analysis/audusd-swing-detector/262966, 69.63, 38.27%,AUDUSD swing detector,15630.3,$105.00,2254.24, 2.38,-,3351, 75%
36.85,209.43,EUR, -0.01%,63.84%,2,-15.06%,500 ,https://www.signalstart.com/analysis/gold-2-trades/262951, 96.76, -0.44%,Gold 2 Trades,3839.2,$39.00,1329.78, 0.77,-,624, 61%
9.13,7956.71,USD, -2.31%,99.99%,3,-99.84%,500 ,https://www.signalstart.com/analysis/diverdoreen/262949, 162.81, -50.36%,DiverDoreen,394.1,$75.00,2990.39, 1.61,-,119, 85%
10.49,0.0,USD, -1.38%,99.69%,6,-98.75%,500 ,https://www.signalstart.com/analysis/bankmanx/262940, 0.78, -34.04%,BankmanX,723.9,$75.00,17.45, 0.85,-,68, 65%
9.33,748.69,EUR, 0.17%,51.58%,6,62.60%,500 ,https://www.signalstart.com/analysis/circle/262654, 9.08, 5.33%,Circle,1636.1,$30.00,326.83, 1.4,-,456, 68%
23.0,4272.28,USD, 0.17%,33.54%,7,233.50%,500 ,https://www.signalstart.com/analysis/ltkwk/262584, 146.1, 5.28%,LTKWK,-10179.9,$49.00,5391.17, 1.72,-,1789, 74%
12.39,60947.79,USD, -0.20%,71.69%,9,-52.48%,50 ,https://www.signalstart.com/analysis/ninja-indices/262549," 3,653.12", -5.74%,Ninja Indices,-94662.0,$99.00,97280.68, 0.51,-,3808, 73%
12.13,1.4,USD, -1.73%,99.91%,7,-99.84%,500 ,https://www.signalstart.com/analysis/hitprofits-2/262532, 60.39, -40.63%,Hitprofits 2,-20565.2,$30.00,304.39, 0.94,-,3612, 71%
25.0,319380.16,USD, 0.56%,93.78%,6,6813.74%,200 ,https://www.signalstart.com/analysis/fxsavvy/262482," 22,044.61", 18.05%,FXSavvy,1254183.9,$75.00,324330.16, 1.07,-,5046, 65%
9.59,304.16,USD, 0.81%,63.07%,6,928.95%,500 ,https://www.signalstart.com/analysis/mas-anam/262476, 29.5, 27.40%,Mas Anam,15799.7,$35.00,956.1, 1.61,-,1651, 82%
11.39,19.89,USD, -0.14%,77.19%,3,-37.85%,400 ,https://www.signalstart.com/analysis/joadr/262348, 25.7, -4.08%,JOADR,7214.1,$75.00,210.53, 0.96,-,544, 52%
17.0,5398.71,USD, 0.17%,88.36%,8,151.20%,200 ,https://www.signalstart.com/analysis/gord-traderplus4/262302, 9.67, 5.33%,GORD TraderPlus4,220673.7,$44.00,2695.64, 1.74,-,741, 70%
10.69,5.44,EUR, -0.51%,92.81%,2,-80.49%,500 ,https://www.signalstart.com/analysis/mammut-ea/262203, 5.24, -14.13%,Mammut EA,-1683.9,$75.00,177.88, 1.53,-,272, 72%
89.0,47176.09,USD, -0.23%,100.00%,1,-99.84%,500 ,https://www.signalstart.com/analysis/provider-alrez1190/262086," 1,538.28", -6.80%,provider ALREZ1190,85239.2,$30.00,6594.03, 0.97,-,1519, 65%
22.0,72878.08,USD, -0.55%,99.97%,2,-97.47%,500 ,https://www.signalstart.com/analysis/6677/262062," 2,928.96", -15.20%,6677,-37781.2,$60.00,4333.27, 1.01,-,18436, 71%
11.23,1.88,USD, 0.12%,59.08%,8,51.33%,200 ,https://www.signalstart.com/analysis/mtrader2/261961, 10.74, 3.75%,Mtrader2,58054.0,$50.00,533.67, 4.66,-,844, 95%
16.0,219.49,EUR, -0.32%,95.93%,8,-79.80%,400 ,https://www.signalstart.com/analysis/anc-trading/261796, 6.05, -9.17%,ANC TRADING,824.3,$30.00,111.34, 0.78,-,463, 75%
14.0,0.0,CAD, 0.38%,62.94%,8,443.59%,100 ,https://www.signalstart.com/analysis/fxjanas/261755, 67.55, 11.98%,Fxjanas,13160.7,$75.00,17080.97, 2.79,-,315, 84%
13.0,1128.96,USD, -0.10%,100.00%,3,-34.08%,200 ,https://www.signalstart.com/analysis/best-ea-portfolio/261721, 19.72, -2.98%,BEST EA PORTFOLIO,2499.7,$30.00,34.47, 1.02,-,761, 73%
10.16,0.0,USD, -2.24%,99.91%,7,-99.90%,500 ,https://www.signalstart.com/analysis/gold-fighter/261696, 33.56, -49.22%,GOLD FIGHTER,-10522.1,$38.00,3206.0, 0.38,-,394, 61%
11.43,736.08,USD, -1.88%,99.92%,0,-99.85%,400 ,https://www.signalstart.com/analysis/gfmt-signal/261674, 24.27, -43.40%,GFMT Signal,36.2,$35.00,2763.92, 0.49,-,1143, 88%
11.26,13887.83,USD, -1.68%,100.00%,1,-99.67%,400 ,https://www.signalstart.com/analysis/gfte-signal/261673, 130.23, -39.72%,GFTE Signal,15763.5,$40.00,12585.33, 2.07,-,5005, 78%
10.26,0.0,USD, -0.21%,65.56%,7,-47.53%,200 ,https://www.signalstart.com/analysis/lt-forex-strategy/261579, 3.61, -6.07%,LT Forex Strategy,8910.9,$30.00,254.13, 0.76,-,361, 65%
37.0,567.88,EUR, -0.57%,99.91%,6,-99.87%,500 ,https://www.signalstart.com/analysis/milkyway114/261539, 149.82, -15.86%,MilkyWay114,-14987.3,$30.00,2702.12, 0.71,-,2673, 75%
11.52,6.28,USD, 0.27%,99.90%,1,156.25%,500 ,https://www.signalstart.com/analysis/pivot-smart-trading/261535, 25.54, 8.48%,Pivot Smart Trading,2549.2,$30.00,532.83, 1.33,-,158, 58%
10.46,950.15,USD, -0.07%,27.00%,9,-20.89%,400 ,https://www.signalstart.com/analysis/stochastictrader2023/261495, 7.5, -2.21%,StochasticTrader2023,-2899.8,$30.00,249.85, 0.85,-,737, 52%
19.0,6790.21,USD, -1.17%,100.00%,7,-99.90%,500 ,https://www.signalstart.com/analysis/mr-gold-pro/261374, 162.45, -29.72%,Mr Gold pro,-29478.8,$50.00,1614.14, 0.94,-,1103, 61%
10.46,0.0,USD, -2.18%,99.99%,6,-99.90%,500 ,https://www.signalstart.com/analysis/twobirds-l-high-profit/261355, 205.25, -48.23%,TwoBirds l High Profit,276.9,$50.00,8052.59, 1.73,-,499, 67%
13.0,187.31,USD, -0.41%,97.36%,4,-82.01%,400 ,https://www.signalstart.com/analysis/sina-keshtkari/260973, 14.25, -11.64%,sina keshtkari,-5519.5,$90.00,694.96, 0.6,-,337, 75%
11.03,7440.12,USC Cent, 0.30%,38.25%,5,172.03%,500 ,https://www.signalstart.com/analysis/softechfx-rock-ea-micro/260761, 106.64, 9.47%,SOFTECHFX ROCK EA MICRO,3775.9,$35.00,8656.12, 2.42,-,843, 70%
11.2,8.83,USD, -2.02%,99.90%,3,-99.90%,500 ,https://www.signalstart.com/analysis/an-gold/260742, 7.17, -45.76%,AN GOLD,-16417.4,$30.00,1521.63, 0.31,-,127, 54%
12.16,0.0,USD, -0.38%,86.63%,5,-75.37%,400 ,https://www.signalstart.com/analysis/channel-extension/260690, 32.61, -10.72%,Channel Extension,-9589.5,$35.00,1603.28, 0.8,-,1124, 75%
12.02,0.0,USD, -1.44%,99.56%,1,-99.50%,500 ,https://www.signalstart.com/analysis/blue/260538, 18.71, -35.25%,Blue,-19356.0,$30.00,9908.79, 0.11,-,276, 55%
24.39,5946.44,USD, -0.78%,100.00%,7,-99.70%,500 ,https://www.signalstart.com/analysis/tbwz-tmgm1/260262," 11,087.29", -20.88%,Tbwz TMGM1,24110.7,$75.00,195330.08, 1.99,-,2781, 92%
12.02,0.99,USD, -0.79%,98.20%,5,-94.53%,500 ,https://www.signalstart.com/analysis/pipsmaster2/260258, 0.33, -21.21%,PipsMaster2,-2756.4,$75.00,17.11, 0.72,-,33, 94%
11.66,91793.42,PLN, 0.05%,9.40%,363,18.20%,100 ,https://www.signalstart.com/analysis/etmr-81335/260223, 2.77, 1.44%,ETMR 81335,1572978.4,$75.00,11793.42, 5.51,-,168, 87%
11.85,1244.56,USD, 0.23%,97.07%,7,126.59%,100 ,https://www.signalstart.com/analysis/saleh-trading-ai/259893, 125.94, 7.12%,Saleh Trading AI,62969.7,$44.00,123.59, 0.97,-,665, 82%
13.0,3233.81,USD, -1.58%,99.99%,2,-99.83%,500 ,https://www.signalstart.com/analysis/blasting-plan/259888, 523.29, -37.86%,Blasting plan,63968.7,$75.00,581.19, 1.01,-,3516, 83%
28.0,11249.11,USD, -0.45%,99.96%,7,-97.91%,500 ,https://www.signalstart.com/analysis/corrective-profit/259768, 215.54, -12.60%,Corrective Profit,80397.7,$30.00,6249.11, 1.37,-,17254, 74%
13.0,0.63,USD, -1.71%,99.97%,5,-99.90%,500 ,https://www.signalstart.com/analysis/shaimaa/259550, 106.43, -40.37%,Shaimaa,1668.3,$45.00,979.5, 0.92,-,1091, 62%
16.0,190.21,USD, -0.05%,73.31%,3,-22.41%,200 ,https://www.signalstart.com/analysis/ed-invest/259539, 2.26, -1.50%,ED INVEST,283.2,$30.00,59.79, 0.94,-,226, 50%
13.0,479.91,EUR, -1.70%,99.94%,3,-99.90%,500 ,https://www.signalstart.com/analysis/sustainablegrowth/259348," 1,748.99", -40.07%,SustainableGrowth,123131.3,$30.00,56562.38, 0.71,-,647, 33%
12.95,859.04,USD, 1.14%,40.66%,3,8442.55%,500 ,https://www.signalstart.com/analysis/factorygpt/258576, 2.83, 40.21%,FactoryGPT,5554.0,$39.00,849.04, 35.64,-,149, 99%
13.0,5056.85,USD, -0.05%,53.80%,1,-17.05%,500 ,https://www.signalstart.com/analysis/forex-swing-pro/257611, 24.16, -1.34%,FOREX SWING PRO,-169.9,$75.00,428.55, 0.85,-,170, 56%
13.0,107041.5,AUC, -0.80%,100.00%,6,-96.23%,500 ,https://www.signalstart.com/analysis/mombasa-vanilla/258692," 1,105.65", -21.47%,Mombasa Vanilla,13762.6,$40.00,48665.58, 1.4,-,21764, 70%
15.0,0.9,USD, -1.42%,99.97%,1,-99.90%,500 ,https://www.signalstart.com/analysis/westfx/256909, 140.05, -34.84%,WestFX,-36279.4,$30.00,1581.85, 1.04,-,927, 66%
16.0,0.0,EUR, 0.04%,12.16%,4,19.64%,200 ,https://www.signalstart.com/analysis/nwl-retirement/256790, 21, 1.10%,NWL RETIREMENT,15288.0,$30.00,1808.23, 1.57,-,1339, 58%
14.0,18715.22,USD Cent, -1.54%,100.00%,3,-99.88%,500 ,https://www.signalstart.com/analysis/make-money-profit-forever/256714, 151.47, -37.16%,Make Money Profit Forever,25200.4,$75.00,8715.22, 2.19,-,8536, 70%
14.0,3939.15,USD, 1.26%,98.53%,5,29148.05%,500 ,https://www.signalstart.com/analysis/agi-spark/256436, 52.06, 45.44%,AGI spark,111126.9,$39.00,4356.66, 2.45,-,3525, 94%
