age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
27.0, 0.07%,19.5%,73.85%,https://www.signalstart.com/analysis/green-emerald-flyer/30922, 2.01%,Green Emerald Flyer,"8,641.3",$75, 1.2,366,1201,Real, 81%
10.46, 0.00%,88.6%,0.12%,https://www.signalstart.com/analysis/longshort-forex/59514, 0.01%,LONGSHORT FOREX,"20,756.2",$45, 1.01,377,120,Real, 40%
24.82, 0.31%,52.4%,945.59%,https://www.signalstart.com/analysis/guddinifast/58369, 9.77%,GuddiniFast,"-8,560",$30, 1.42,379,5143,Real, 71%
24.33, 0.33%,92.3%,"1,086.26%",https://www.signalstart.com/analysis/forex-swap-robot/53730, 10.54%,Forex Swap Robot,"53,559.8",$30, 3.23,362,33416,Real, 92%
9.56, 0.06%,92.1%,20.07%,https://www.signalstart.com/analysis/expertanalystahmedsar1/62743, 1.93%,ExpertAnalystAhmedSar1,"6,367.3",$35, 1.17,378,1050,Real, 48%
4.46, 0.12%,78.5%,16.76%,https://www.signalstart.com/analysis/romanhooligan/104585, 3.52%,RomanHooligan,"-83,595.2",$30, 1.05,376,1527,Real, 71%
6.36, 0.10%,48%,21.64%,https://www.signalstart.com/analysis/night-shift-ea-ic-markets/83347, 3.12%,NIGHT SHIFT EA at IC Markets,"1,739.8",$59, 1.05,375,2664,Real, 78%
69.0, 0.01%,51.6%,18.35%,https://www.signalstart.com/analysis/eurusd-swinger/35721, 0.24%,Eurusd swinger,"1,977.4",$40, 1.01,381,320,Real, 36%
8.89, 0.14%,40.7%,45.38%,https://www.signalstart.com/analysis/night-shift-ea/79301, 4.29%,Night Shift EA,"4,750.5",$49, 1.08,380,3732,Real, 80%
15.0, 0.13%,52%,82.73%,https://www.signalstart.com/analysis/japanese-brexit-swing/89227, 3.92%,Japanese Brexit Swing,890.3,$30, 1.06,383,359,Real, 55%
21.0, 0.05%,43.2%,39.23%,https://www.signalstart.com/analysis/tradingauditado-cdnight/57477, 1.55%,TRADINGAUDITADO CDNIGHT,343.4,$99, 5.17,386,91,Real, 95%
15.0, 0.12%,50.2%,76.64%,https://www.signalstart.com/analysis/tradingauditado-adsun/58981, 3.63%,TRADINGAUDITADO ADSUN,844.8,$99, 1.25,384,202,Real, 86%
14.0, 0.23%,90.5%,180.23%,https://www.signalstart.com/analysis/growth/57573, 7.22%,Growth,"4,233.2",$43, 1.69,385,489,Real, 70%
28.0, 0.13%,68.2%,221.26%,https://www.signalstart.com/analysis/ace-profitable-strategy/50836, 4.11%,Ace Profitable Strategy,"11,923.4",$69, 1.98,387,4631,Real, 72%
26.0, 0.28%,62.8%,871.77%,https://www.signalstart.com/analysis/profittrading/52100, 8.83%,Profittrading,"21,876.9",$200, 1.64,388,1981,Real, 83%
8.72, 0.68%,69.5%,492.64%,https://www.signalstart.com/analysis/captur-trender/65653, 22.57%,Captur Trender,187.4,$50, 2.37,382,140,Real, 58%
11.2, 0.17%,57.2%,75.06%,https://www.signalstart.com/analysis/twilight-rush/64950, 5.12%,Twilight Rush,"1,869.2",$40, 1.07,392,658,Real, 76%
11.01, 0.34%,93.7%,210.6%,https://www.signalstart.com/analysis/joker/65893, 10.84%,JOKER,"1,143,905.4",$49, 2.74,389,8061,Real, 94%
14.0, 0.05%,63.3%,22.33%,https://www.signalstart.com/analysis/multi-swing-trades/89325, 1.42%,Multi Swing Trades,"5,656.5",$30, 1.01,391,882,Real, 46%
10.13, 0.77%,99.9%,933.28%,https://www.signalstart.com/analysis/stepping-up/86518, 25.89%,Stepping up,"4,760.3",$350, 1.13,390,1121,Real, 73%
9.75, 0.54%,47.6%,389.38%,https://www.signalstart.com/analysis/limerence-ea-suite-1/64482, 17.64%,Limerence EA Suite 1,-663.9,$75, 7.48,394,70,Real, 80%
15.0, 0.13%,57%,79.31%,https://www.signalstart.com/analysis/trendspotter/101162, 3.85%,TrendSpotter,"1,476.3",$30, 1.09,374,479,Real, 56%
14.0, 0.19%,77.4%,126.89%,https://www.signalstart.com/analysis/ta-porfolioadcdmode1y3/58982, 5.94%,TA PORFOLIOADCDMODE1Y3,"2,325.5",$99, 1.23,395,860,Real, 85%
36.72, 0.06%,40.8%,91.13%,https://www.signalstart.com/analysis/gustavo-cavalli/26981, 1.75%,Gustavo Cavalli,"15,643.3",$30, 1.41,372,144,Real, 91%
40.0, 0.04%,32.7%,70.96%,https://www.signalstart.com/analysis/capitary-1/32194, 1.33%,Capitary 1,-948.4,$40, 1.26,370,216,Real, 56%
35.0, 0.04%,48.5%,60.17%,https://www.signalstart.com/analysis/sureprofit002/20744, 1.33%,SureProfit002,"-5,178.3",$35, 2.07,398,111,Real, 95%
31.0, 0.01%,33.8%,8.29%,https://www.signalstart.com/analysis/sfe-eurusd/41892, 0.25%,SFE EURUSD,"9,017.6",$40, 0.88,369,1746,Real, 53%
10.03, 0.12%,75.8%,44.09%,https://www.signalstart.com/analysis/sancho19/65256, 3.70%,Sancho19,"-46,360.3",$30, 1.18,371,4367,Real, 49%
6.59, 0.11%,55.7%,24.2%,https://www.signalstart.com/analysis/real-deal/83200, 3.33%,Real Deal,"24,802.8",$300, 1.1,400,374,Real, 51%
53.0, 0.09%,30.7%,322.36%,https://www.signalstart.com/analysis/goodprofit/11059, 2.68%,GoodProfit,"6,393.9",$75, 1.18,373,2669,Real, 72%
12.43, 0.01%,98.8%,2.52%,https://www.signalstart.com/analysis/fx-storm-soft/57952, 0.20%,fx storm soft,843.8,$30, 1.04,399,39,Real, 85%
15.0, 0.01%,47.3%,4.58%,https://www.signalstart.com/analysis/hs-trading-ai/107343, 0.29%,HS trading AI,"-21,885.2",$80, 1,368,1005,Real, 40%
29.0, 0.07%,76.8%,94.46%,https://www.signalstart.com/analysis/spiderman/66417, 2.24%,SpiderMan,"-285,299.9",$75, 1.54,403,301,Real, 75%
12.85, 0.65%,68.5%,"1,145.35%",https://www.signalstart.com/analysis/oneuptrade/60969, 21.33%,OneUpTrade,"60,142.8",$59, 3.39,401,174,Real, 90%
22.0, 0.07%,49%,61.45%,https://www.signalstart.com/analysis/capitary-13/35232, 2.11%,Capitary 13,-582.2,$35, 1.19,411,946,Real, 63%
21.0, 0.20%,25.4%,276.22%,https://www.signalstart.com/analysis/candelabrum-quiet/53569, 6.30%,Candelabrum Quiet,"132,427",$39, 1.32,410,445,Real, 71%
35.0, 0.12%,78.4%,269.2%,https://www.signalstart.com/analysis/keep-calm-carry/33369, 3.75%,Keep Calm and Carry On,"-4,411.9",$35, 1.26,421,3009,Real, 39%
65.0, 0.10%,51%,616.79%,https://www.signalstart.com/analysis/alphadaywalker/30478, 3.03%,AlphaDayWalker,"47,598.4",$45, 1.29,396,12317,Real, 78%
4.33, 0.27%,72.4%,42.15%,https://www.signalstart.com/analysis/mercury-rec-rmax/95170, 8.44%,MERCURY REC RMAX,156.7,$75, 1.08,419,183,Real, 69%
19.0, 0.02%,65.3%,11.32%,https://www.signalstart.com/analysis/goodison-capital/53322, 0.56%,Goodison Capital,"2,129.3",$100, 1.02,418,344,Real, 79%
12.36, 0.85%,56.2%,"2,283.14%",https://www.signalstart.com/analysis/medallion/66186, 28.77%,Medallion,"2,017.1",$59, 1.21,425,253,Real, 85%
8.79, 0.05%,86%,13.75%,https://www.signalstart.com/analysis/blast/65577, 1.47%,Blast,42.4,$49, 1.32,428,91,Real, 98%
40.0, 0.00%,41.5%,1.48%,https://www.signalstart.com/analysis/gkfx-2/24174, 0.04%,GKFX 2,953.2,$30, 1,402,1971,Real, 47%
25.0, 0.20%,84.1%,369.13%,https://www.signalstart.com/analysis/success/40910, 6.09%,Success,"33,742.3",$50, 1.3,420,5107,Real, 96%
7.07, 0.31%,93.3%,93%,https://www.signalstart.com/analysis/pasol-streading/85209, 9.74%,Pasol Streading,147.7,$50, 1.03,430,146,Real, 64%
55.0, 0.13%,82.1%,767%,https://www.signalstart.com/analysis/nile-ma/3701, 3.91%,NiLe MA,"21,604.4",$60, 1.35,393,7409,Real, 69%
13.0, 1.01%,68.4%,"6,178.63%",https://www.signalstart.com/analysis/positive-green-beast/101099, 35.15%,Positive Green Beast,"4,387.9",$35, 5.55,429,174,Real, 85%
10.52, 0.67%,72.2%,722.38%,https://www.signalstart.com/analysis/fxcyborg/81002, 22.12%,FxCyborg,440.3,$60, 1.88,431,230,Real, 83%
4.92, -0.29%,45.2%,-35%,https://www.signalstart.com/analysis/yoursuperannuation/84747, -8.35%,YourSuperAnnuation,-20.5,$30, 0.57,-,86,Real, 72%
2.13, 1.45%,48.3%,151.21%,https://www.signalstart.com/analysis/starx/106496, 53.73%,StarX,"3,690",$33, 2.72,-,2388,Real, 79%
