age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
29.0, 0.02%,71.2%,23.27%,https://www.signalstart.com/analysis/reliable-consistent-profits/50713, 0.70%,Reliable Consistent Profits,"15,869.5",$49, 1.31,456,5650,Real, 74%
9.36, 0.07%,16.1%,23.08%,https://www.signalstart.com/analysis/oriondreams/84152, 2.24%,OrionDreams,"1,964.1",$40, 1.11,236,791,Real, 69%
5.39, 0.13%,69.3%,24.38%,https://www.signalstart.com/analysis/mercury-euraud-r5/95184, 4.11%,MERCURY EURAUD R5,63.1,$75, 1.12,381,29,Real, 90%
2.95, 0.23%,30.6%,22.95%,https://www.signalstart.com/analysis/expert-3/111641, 7.17%,Expert 3,"-91,544.4",$30, 1.75,210,1281,Real, 74%
29.0, 0.02%,22.1%,22.2%,https://www.signalstart.com/analysis/black-diamond-express/30921, 0.68%,Black Diamond Express,"2,728.9",$75, 1.18,350,1928,Real, 77%
11.89, 0.06%,27.3%,21.73%,https://www.signalstart.com/analysis/bg-nighter-pro-1set/65148, 1.66%,BG Nighter Pro 1set,164.4,$47, 1.06,263,251,Real, 86%
28.0, 0.02%,9.5%,21.03%,https://www.signalstart.com/analysis/nightwalker-ea/53820, 0.66%,NightWalker EA,"2,516.4",$40, 1.26,351,1259,Real, 70%
1.02, 0.64%,11%,21%,https://www.signalstart.com/analysis/safe-autotrade/140747, 20.63%,Safe Autotrade,"1,197.4",$69, 1.53,108,240,Real, 68%
3.33, 0.18%,22.8%,19.8%,https://www.signalstart.com/analysis/ldb/123240, 5.54%,LDB,"20,796.3",$35, 1.08,146,775,Real, 38%
6.49, 0.10%,12.7%,20.82%,https://www.signalstart.com/analysis/fx95/104445, 2.94%,FX95,"3,629.1",$39, 1.17,123,297,Real, 52%
5.52, 0.11%,6.6%,20.74%,https://www.signalstart.com/analysis/polyvalent-portfolio/134713, 3.45%,Polyvalent Portfolio,"1,350.7",$69, 1.25,111,605,Real, 73%
2.39, 0.25%,16.4%,19.46%,https://www.signalstart.com/analysis/longterm-profits/116408, 7.64%,Longterm Profits,"1,616.9",$99, 1.27,138,185,Real, 67%
16.0, 0.04%,12.9%,20.53%,https://www.signalstart.com/analysis/gbmh3/51844, 1.15%,GBMH3,"1,122.8",$30, 1.46,204,2604,Real, 95%
14.0, 0.04%,24.8%,20.33%,https://www.signalstart.com/analysis/bonaparte/88373, 1.27%,Bonaparte,"529,182.1",$50, 3.85,217,1440,Real, 84%
2.95, 0.19%,59%,18.16%,https://www.signalstart.com/analysis/expert-2/111634, 5.75%,Expert 2,16.5,$30, 2.25,331,315,Real, 80%
12.43, 0.05%,74.3%,19.19%,https://www.signalstart.com/analysis/tiger-martin-sh-722/57838, 1.40%,Tiger Martin SH 722,"6,113.1",$30, 1.66,393,1503,Real, 59%
12.72, 0.04%,97.6%,17.71%,https://www.signalstart.com/analysis/nitro-spider/61157, 1.27%,Nitro Spider,"1,399.4",$50, 1.04,467,550,Real, 87%
3.72, 0.15%,17.2%,18.84%,https://www.signalstart.com/analysis/jjcapitalfx/131059, 4.71%,JJCapitalFx,"6,354.1",$30, 4.35,99,203,Real, 77%
3.79, 0.15%,18.9%,18.8%,https://www.signalstart.com/analysis/x1usdcad/102814, 4.62%,X1USDCAD,"1,545.3",$30, 1.45,199,322,Real, 84%
51.0, 0.01%,37.6%,17.64%,https://www.signalstart.com/analysis/datsforex/11483, 0.31%,DATSForex,"-3,446.9",$50, 1.03,446,2486,Real, 56%
25.0, 0.02%,17.7%,18.25%,https://www.signalstart.com/analysis/pip-builder/38207, 0.65%,Pip Builder,667.5,$40, 1.05,165,1174,Real, 76%
8.82, 0.06%,26.7%,18.29%,https://www.signalstart.com/analysis/briteprofit/115099, 1.92%,BriteProfit,"2,412.3",$30, 1.18,391,55,Real, 67%
2.43, 0.22%,41%,17.55%,https://www.signalstart.com/analysis/fbm-prol/112684, 6.82%,FBM ProL,"-12,430.1",$125, 1.28,338,548,Real, 74%
15.0, 0.03%,52.5%,17.43%,https://www.signalstart.com/analysis/hs-trading-ai/107343, 1.00%,HS trading AI,"-23,408.1",$80, 1.03,426,1055,Real, 40%
12.72, 0.04%,15.1%,17.39%,https://www.signalstart.com/analysis/tradingauditado-adsun15m/61827, 1.25%,TRADINGAUDITADO ADSUN15M,161.4,$99, 1.45,349,47,Real, 85%
21.0, 0.02%,48.4%,17.11%,https://www.signalstart.com/analysis/hightrendtrading/55341, 0.72%,HighTrendTrading,967.6,$30, 1.02,376,2518,Real, 73%
0.47, 1.12%,27%,16.93%,https://www.signalstart.com/analysis/trend-all-professional/139480, 16.93%,TREND ALL professional,"9,138.4",$75, 1.76,214,1651,Real, 73%
41.0, 0.01%,49%,16.93%,https://www.signalstart.com/analysis/capitary-1/32194, 0.38%,Capitary 1,"-1,215",$40, 0.96,449,232,Real, 56%
2.49, 0.20%,5.5%,16.3%,https://www.signalstart.com/analysis/trend-follower-2/116569, 6.19%,Trend Follower 2,"2,332.5",$35, 1.56,89,298,Real, 48%
3.3, 0.14%,4.1%,15.21%,https://www.signalstart.com/analysis/orions/128840, 4.36%,Orions,"1,148.4",$30, 2.12,97,227,Real, 86%
0.44, 1.15%,9.5%,16.02%,https://www.signalstart.com/analysis/upward-fx/144667, 16.02%,Upward FX,510.4,$39, 2.32,-,31,Real, 74%
1.85, 0.26%,27.6%,15.84%,https://www.signalstart.com/analysis/metamaster/119649, 8.12%,MetaMaster,"1,228.1",$30, 4.11,133,84,Real, 87%
10.69, 0.04%,22.9%,15.37%,https://www.signalstart.com/analysis/sfe-stealth/65555, 1.34%,SFE STEALTH,"8,281.3",$50, 1.15,248,1223,Real, 73%
0.93, 0.46%,4.1%,13.7%,https://www.signalstart.com/analysis/dxy/144366, 13.70%,DXY,"1,103.7",$32, 2.01,83,112,Real, 68%
3.1, 0.14%,45.6%,13.57%,https://www.signalstart.com/analysis/romanhooliganforcopy/106349, 4.17%,RomanHooliganForCopy,"-15,547.1",$30, 1.11,324,1543,Real, 59%
3.46, 0.13%,14.5%,14.88%,https://www.signalstart.com/analysis/stelvio/103962, 4.06%,Stelvio,969.9,$499, 3.67,105,30,Real, 70%
16.0, 0.03%,76.2%,13.5%,https://www.signalstart.com/analysis/trendspotter/101162, 0.78%,TrendSpotter,590.2,$30, 1.01,454,606,Real, 55%
1.13, 0.40%,12.8%,14.37%,https://www.signalstart.com/analysis/bebop-oc-20k/140614, 12.39%,BEBOP OC 20k,-189.7,$50, 2.99,122,76,Real, 62%
6.3, 0.07%,20%,13.68%,https://www.signalstart.com/analysis/siriusfx/141391, 2.05%,SiriusFX,-250.3,$30, 1.09,309,215,Real, 14%
2.39, 0.18%,29.8%,13.43%,https://www.signalstart.com/analysis/discovery/128812, 5.36%,Discovery,654.8,$30, 1.89,229,191,Real, 84%
10.36, 0.04%,31.8%,12.09%,https://www.signalstart.com/analysis/y2020/109821, 1.11%,Y2020,"-9,356.1",$39, 1.1,178,127,Real, 51%
6.2, 0.07%,14.7%,13.12%,https://www.signalstart.com/analysis/day-traders/107469, 2.00%,Day traders,531.5,$149, 1.06,470,706,Real, 67%
